UserTags,TimeStamps,Tweets,Replies,Retweets,Likes
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 25",2025-02-25T05:52:03.000Z,"Only white men like Trump and Elon could weaponize their incompetence and fail upwards.

Besides the fact that nothing this administration is doing makes sense, it’s clear that this is not for the people's good. This is to further an agenda of hate, discrimination, and racism.",11,2,16
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 25",2025-02-25T04:29:55.000Z,"Good job, y’all",12,14,79
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 24",2025-02-24T06:16:42.000Z,"MSNBC’s decision to remove Joy Reid, our direct connection to the pulse of our communities, was a regressive move.

For Black audiences, she was a trusted voice who brought our stories, perspectives, and urgent issues to the forefront. Her absence leaves a void in representation",65,55,140
"Spencer Althouse
@SpencerAlthouse
·
Feb 24",2025-02-24T02:13:21.000Z,"Empathy is not weak or ""woke."" And, by the way, ""woke"" just means you give a damn about other people.""

—Jane Fonda accepting her SAG Lifetime Achievement Award",2.5K,15K,86K
"Vanessa Jaye
@vanessajaye
·
Feb 22",2025-02-22T02:18:43.000Z,His breath control is insane.,252,5.9K,42K
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 23",2025-02-23T16:36:05.000Z,You can’t fight what you don’t understand. Study. Learn. Organize.,24,36,102
"Maxwell Alejandro Frost
@MaxwellFrostFL
·
Feb 22",2025-02-22T14:51:18.000Z,Cause he’s fucking crazy.,2.1K,6.6K,121K
"philip lewis
@Phil_Lewis_
·
Feb 22",2025-02-22T15:58:11.000Z,"After nearly three decades in prison, Robert Johnson is finally free after a judge vacated his 1996 murder conviction

His cousin showed him how to use a laptop, he hugged his 92-year-old grandmother, and played his first video games since the 90s:",36,1.3K,7.1K
"Eylon Levy
@EylonALevy
·
Feb 22",2025-02-22T09:44:55.000Z,"After 3,821 days in Hamas captivity, Avera Mengistu is free.",20,65,463
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 22",2025-02-22T09:22:06.000Z,righteousness is measured by how we treat the least powerful,18,22,80
"AMERICAN BLACK FILM FESTIVAL
@ABFF
·
Feb 19",2025-02-19T19:32:07.000Z,"Aaron Pierre…that’s Mufasa 

Our live band, and attendees all joined in on this amazing moment, recognizing our rising star.

#abffhonors #abffhonors2025 #cadillac #Ally #aaronpierre #Mufasa",8,77,498
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 20",2025-02-20T13:21:09.000Z,"Enslaved Africans braided seeds into their hair, carrying the future with them when everything else was stolen. Maroons built free settlements in the swamps and mountains, growing their own food so no empire could control them. The Black Panthers fed tens of thousands of children",21,27,110
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 19",2025-02-19T17:08:37.000Z,Everything you love about America is because of Black people,98,123,523
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 18",2025-02-18T08:28:11.000Z,"Today, February 17th, is the birthdate of Huey P. Newton, Co-Founder, Chief Ideologue and Leader of the Black Panther Party.  We who believe in Black Liberation celebrate his life!  We continue to hold up the banner of the Panther until we’re free.  We must.
 
Through words and",18,26,85
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 17",2025-02-17T01:15:07.000Z,Corporations and the government have always operated as two sides of the same coin.,12,8,48
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 17",2025-02-17T00:43:22.000Z,"Claudia Jones was a warrior for the people, a radical thinker who built power where there was none. She didn’t wait for a seat at the table—she built her own. From the streets to the press, from revolution to carnival, she turned culture into both a weapon and a celebration. Her",6,19,42
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 16",2025-02-16T17:06:24.000Z,“Wake the hell up”,15,16,45
"#StopCopCity
@micahinATL
·
Feb 14",2025-02-14T20:17:30.000Z,"Cool tactic from the campaign to stop a new $500 million federal prison from being built in Eastern KY –– a coalition recently purchased a huge chunk of land where the prison is supposed to be built, and plans to reintroduce native species to the area.",12,417,1.1K
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 15",2025-02-15T00:33:51.000Z,Angels from heaven,9,16,61
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 12",2025-02-11T21:56:53.000Z,"If you haven’t caught on yet, here’s a hint: The selective outrage over the Super Bowl halftime show isn’t about the performance itself. It’s about what Kendrick, Serena, Samuel, and others all have in common.

It starts with a B and ends with a K.",88,40,177
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 10",2025-02-10T05:50:41.000Z,the kids are saying don’t update your iPhone. just passing the message along.,16,11,76
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 10",2025-02-10T01:39:52.000Z,MUSTARDDDDDDD,15,64,575
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 10",2025-02-10T01:35:46.000Z,Better days comin’ for sure,22,29,180
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 8",2025-02-08T07:57:22.000Z,"Freedom is not a gift from the oppressor. It must be taken.” – Kwame Nkrumah

Black futures aren’t just imagined; they’re built. Kwame Nkrumah didn’t ask for permission. He took the first step, and his vision set a continent free.

A THREAD! ",20,9,25
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 8",2025-02-08T07:57:24.000Z,"From Accra to the diaspora, the fight for self-determination continues.

The question isn’t whether liberation is possible, it’s how will we build on it?",3,1,10
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 8",2025-02-08T07:57:25.000Z,"Black liberation doesn’t happen by waiting, it happens by taking what’s ours.

The revolution is ours to continue. Forward ever, backward never.",6,1,9
"Nina Turner
@ninaturner
·
Feb 8",2025-02-07T23:28:41.000Z,"Sandra Bland should have turned 38 years old today. She should be around family and friends. 

Instead, her life was stolen.

Rest In Power, soror ",50,475,2.8K
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 7",2025-02-07T06:11:27.000Z,"While Democrats are stuck litigating the last election, Elon Musk and his crew of twenty somethings are out here rewiring the global order like it’s a weekend hackathon.",32,12,51
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 6",2025-02-06T20:55:11.000Z,Black joy is a strategy.,30,13,57
"People's Television
@peoplesTV
·
Feb 6",2025-02-06T19:31:28.000Z," Black History Month honors the past while shaping the future 

Food is history on a plate—a story of resilience, community, and self-expression 

In this 
@Blklivesmatter
  limited series, we produced, a James Beard Award-winning writer explores how food connects us to our",9,3,9
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 6",2025-02-06T12:28:00.000Z,"Share this with a Black woman who is worthy of being celebrated today. 

(Song by Lord Vizion)",16,11,34
"Natasha Rothwell
@natasharothwell
·
Feb 4",2025-02-04T19:01:50.000Z,"This is hard to comprehend… My heart is aches for the cast, crew and writers who gave their all to tell this story. I’m so grateful to have had this opportunity, and appreciate all of the love and support. Hopefully this news will be a comma in the HTDA story, not a period.",852,6.1K,31K
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 5",2025-02-05T06:36:11.000Z,"Sometimes we forget that we are among the first generations of Black people who were not born into legal slavery or segregation. For centuries, Black communities have been enslaved, displaced, and restricted, but also resistant, self-determined, and visionary. The progress we see",19,19,70
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 5",2025-02-05T06:36:29.000Z,Credit: Reubenrenoi TT & TikTok carolsinfantcare,2,,3
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 3",2025-02-03T18:41:17.000Z,"FYI, the largest Black Lives Matter protests happened in 2020 during Trump’s presidency, but your letter falsely implies they occurred under Biden.

More importantly, conflating BLM protests with violence or using them as political ammunition misrepresents the purpose of our",25,13,47
"Black Lives Matter (BLM)
@Blklivesmatter
·
Feb 3",2025-02-03T18:19:15.000Z,lolz she was a vibeee,3,1,14
"Get Free
@getfree_mvmt
·
Feb 3",2025-02-03T14:25:37.000Z,"HAPPENING NOW: members of Get Free are blocking traffic in front of the Office of Management and Budget (OMB), the main agency where the Trump Administration and its billionaire backers like Elon Musk have been spearheading efforts to implement MAGA’s Project 2025 agenda.",12,28,65
